time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-11 00:00:00+00:00,1,1,18,1
2023-10-12 00:00:00+00:00,1,1,12,3
2023-10-13 00:00:00+00:00,12,2,29,5
2023-10-14 00:00:00+00:00,1,1,94,3
2023-10-15 00:00:00+00:00,2,2,81,8
2023-10-16 00:00:00+00:00,2,2,63,3
2023-10-17 00:00:00+00:00,1,1,88,12
2023-10-18 00:00:00+00:00,3,3,35,8
2023-10-19 00:00:00+00:00,2,2,32,7
2023-10-20 00:00:00+00:00,3,2,32,4
2023-10-21 00:00:00+00:00,2,2,11,2
2023-10-22 00:00:00+00:00,2,2,13,4
2023-10-23 00:00:00+00:00,3,3,20,9
2023-10-24 00:00:00+00:00,3,3,30,2
2023-10-25 00:00:00+00:00,2,2,10,5
2023-10-26 00:00:00+00:00,1,1,7,4
2023-10-27 00:00:00+00:00,2,2,8,3
2023-10-28 00:00:00+00:00,2,2,2,2
2023-10-29 00:00:00+00:00,2,2,2,1
2023-10-30 00:00:00+00:00,3,3,8,3
2023-10-31 00:00:00+00:00,2,2,14,2
2023-11-01 00:00:00+00:00,1,1,22,5
2023-11-02 00:00:00+00:00,2,2,12,4
2023-11-03 00:00:00+00:00,3,3,5,1
2023-11-04 00:00:00+00:00,3,3,13,3
2023-11-05 00:00:00+00:00,3,3,19,2
2023-11-06 00:00:00+00:00,2,2,25,6
2023-11-07 00:00:00+00:00,1,1,86,15
2023-11-08 00:00:00+00:00,2,2,5,3
2023-11-09 00:00:00+00:00,2,2,0,0
2023-11-10 00:00:00+00:00,2,2,5,2
2023-11-11 00:00:00+00:00,1,1,1,1
2023-11-12 00:00:00+00:00,2,2,7,2
2023-11-13 00:00:00+00:00,3,3,0,0
2023-11-14 00:00:00+00:00,1,1,41,7
2023-11-15 00:00:00+00:00,2,2,22,4
2023-11-16 00:00:00+00:00,2,2,6,2
2023-11-17 00:00:00+00:00,2,2,19,2
2023-11-18 00:00:00+00:00,2,2,1,1
2023-11-19 00:00:00+00:00,2,2,0,0
2023-11-20 00:00:00+00:00,4,4,42,9
2023-11-21 00:00:00+00:00,1,1,61,7
2023-11-22 00:00:00+00:00,2,2,48,7
2023-11-23 00:00:00+00:00,1,1,94,10
2023-11-24 00:00:00+00:00,2,2,33,2
2023-11-25 00:00:00+00:00,2,2,4,3
2023-11-26 00:00:00+00:00,2,2,0,0
2023-11-27 00:00:00+00:00,4,4,1,1
2023-11-28 00:00:00+00:00,1,1,9,1
2023-11-29 00:00:00+00:00,2,2,4,3
2023-11-30 00:00:00+00:00,1,1,0,0
2023-12-01 00:00:00+00:00,2,2,15,1
2023-12-02 00:00:00+00:00,2,2,6,2
2023-12-03 00:00:00+00:00,2,2,47,1
2023-12-04 00:00:00+00:00,3,3,73,8
2023-12-05 00:00:00+00:00,3,3,27,5
2023-12-06 00:00:00+00:00,3,3,2,2
2023-12-07 00:00:00+00:00,2,2,3,1
2023-12-08 00:00:00+00:00,2,2,7,2
2023-12-09 00:00:00+00:00,3,3,2,2
2023-12-10 00:00:00+00:00,2,2,1,1
2023-12-11 00:00:00+00:00,2,2,1,1
2023-12-12 00:00:00+00:00,2,2,24,2
2023-12-13 00:00:00+00:00,3,3,25,4
2023-12-14 00:00:00+00:00,2,2,17,3
2023-12-15 00:00:00+00:00,4,3,60,5
2023-12-16 00:00:00+00:00,2,2,8,3
2023-12-17 00:00:00+00:00,2,2,18,4
2023-12-18 00:00:00+00:00,3,3,3,3
2023-12-19 00:00:00+00:00,2,2,41,5
2023-12-20 00:00:00+00:00,2,2,14,2
2023-12-21 00:00:00+00:00,3,3,2,1
2023-12-22 00:00:00+00:00,2,2,113,4
2023-12-23 00:00:00+00:00,2,2,84,4
2023-12-24 00:00:00+00:00,2,2,8,2
2023-12-25 00:00:00+00:00,4,4,42,2
2023-12-26 00:00:00+00:00,2,2,5,1
2023-12-27 00:00:00+00:00,3,3,20,3
2023-12-28 00:00:00+00:00,2,2,2,2
2023-12-29 00:00:00+00:00,4,3,6,1
2023-12-30 00:00:00+00:00,2,2,24,5
2023-12-31 00:00:00+00:00,2,2,0,0
2024-01-01 00:00:00+00:00,3,3,0,0
2024-01-02 00:00:00+00:00,2,2,14,4
2024-01-03 00:00:00+00:00,2,2,104,10
2024-01-04 00:00:00+00:00,2,2,60,8
2024-01-05 00:00:00+00:00,2,2,86,6
2024-01-06 00:00:00+00:00,3,3,75,5
2024-01-07 00:00:00+00:00,2,2,53,5
2024-01-08 00:00:00+00:00,3,3,85,9
2024-01-09 00:00:00+00:00,2,2,309,14
2024-01-10 00:00:00+00:00,3,3,238,19
2024-01-11 00:00:00+00:00,2,2,47,8
2024-01-12 00:00:00+00:00,3,3,118,10
2024-01-13 00:00:00+00:00,2,2,39,5
2024-01-14 00:00:00+00:00,3,3,93,13
2024-01-15 00:00:00+00:00,4,4,101,17
2024-01-16 00:00:00+00:00,3,3,284,28
2024-01-17 00:00:00+00:00,2,2,194,28
2024-01-18 00:00:00+00:00,2,2,343,42
2024-01-19 00:00:00+00:00,1,1,172,21
2024-01-20 00:00:00+00:00,2,2,130,12
2024-01-21 00:00:00+00:00,3,3,264,14
2024-01-22 00:00:00+00:00,3,3,54,9
2024-01-23 00:00:00+00:00,2,2,72,13
2024-01-24 00:00:00+00:00,3,3,128,11
2024-01-25 00:00:00+00:00,2,2,160,13
2024-01-26 00:00:00+00:00,2,2,210,17
2024-01-27 00:00:00+00:00,3,3,1165,76
2024-01-28 00:00:00+00:00,3,3,1351,81
2024-01-29 00:00:00+00:00,3,3,2451,112
2024-01-30 00:00:00+00:00,3,3,1485,89
2024-01-31 00:00:00+00:00,4,4,1510,60
2024-02-01 00:00:00+00:00,3,3,2392,123
2024-02-02 00:00:00+00:00,4,4,1969,80
2024-02-03 00:00:00+00:00,5,5,3302,106
2024-02-04 00:00:00+00:00,3,3,2040,148
2024-02-05 00:00:00+00:00,4,4,1575,114
2024-02-06 00:00:00+00:00,1,1,1490,99
2024-02-07 00:00:00+00:00,2,2,2037,100
2024-02-08 00:00:00+00:00,5,5,3080,136
2024-02-09 00:00:00+00:00,3,3,1480,121
2024-02-10 00:00:00+00:00,2,2,12,6
2024-02-11 00:00:00+00:00,3,3,66,5
2024-02-12 00:00:00+00:00,3,3,48,2
2024-02-13 00:00:00+00:00,2,2,19,3
2024-02-14 00:00:00+00:00,2,2,15,4
2024-02-15 00:00:00+00:00,2,2,42,7
2024-02-16 00:00:00+00:00,2,2,7,2
2024-02-17 00:00:00+00:00,2,2,16,4
2024-02-18 00:00:00+00:00,2,2,17,2
2024-02-19 00:00:00+00:00,3,3,41,7
2024-02-20 00:00:00+00:00,2,2,10,3
2024-02-21 00:00:00+00:00,2,2,2,1
2024-02-22 00:00:00+00:00,4,4,2,1
2024-02-23 00:00:00+00:00,2,2,0,0
2024-02-24 00:00:00+00:00,2,2,13,5
2024-02-25 00:00:00+00:00,2,2,7,2
2024-02-26 00:00:00+00:00,3,3,17,6
2024-02-27 00:00:00+00:00,3,3,14,1
2024-02-28 00:00:00+00:00,2,2,17,5
2024-02-29 00:00:00+00:00,2,2,17,3
2024-03-01 00:00:00+00:00,2,2,19,4
2024-03-02 00:00:00+00:00,2,2,7,2
2024-03-03 00:00:00+00:00,2,2,5,2
2024-03-04 00:00:00+00:00,3,3,37,2
2024-03-05 00:00:00+00:00,2,2,0,0
2024-03-06 00:00:00+00:00,2,2,37,3
2024-03-07 00:00:00+00:00,2,2,33,6
2024-03-08 00:00:00+00:00,2,2,2,2
2024-03-09 00:00:00+00:00,3,3,10,3
2024-03-10 00:00:00+00:00,1,1,13,2
2024-03-11 00:00:00+00:00,3,3,6,3
2024-03-12 00:00:00+00:00,1,1,15,5
2024-03-13 00:00:00+00:00,1,1,59,4
2024-03-14 00:00:00+00:00,1,1,69,5
2024-03-15 00:00:00+00:00,1,1,15,4
2024-03-16 00:00:00+00:00,1,1,0,0
2024-03-17 00:00:00+00:00,1,1,15,3
2024-03-18 00:00:00+00:00,2,2,0,0
2024-03-19 00:00:00+00:00,1,1,35,5
2024-03-20 00:00:00+00:00,1,1,34,4
2024-03-21 00:00:00+00:00,1,1,0,0
2024-03-22 00:00:00+00:00,1,1,1,1
2024-03-23 00:00:00+00:00,1,1,2,1
2024-03-24 00:00:00+00:00,1,1,5,3
2024-03-25 00:00:00+00:00,1,1,3,1
2024-03-26 00:00:00+00:00,1,1,4,2
2024-03-27 00:00:00+00:00,1,1,1,1
2024-03-28 00:00:00+00:00,2,2,5,4
2024-03-29 00:00:00+00:00,1,1,12,2
2024-03-30 00:00:00+00:00,1,1,29,4
2024-03-31 00:00:00+00:00,1,1,22,4
2024-04-01 00:00:00+00:00,1,1,38,7
2024-04-02 00:00:00+00:00,1,1,52,5
2024-04-03 00:00:00+00:00,1,1,20,7
2024-04-04 00:00:00+00:00,1,1,48,3
2024-04-05 00:00:00+00:00,1,1,26,3
2024-04-06 00:00:00+00:00,1,1,5,4
2024-04-07 00:00:00+00:00,1,1,12,4
